Scouter,Event,Match-Level,Match-Number,Robot,Team-Number,Auton-Position,Auton-Leave-Start,Auton-Coral-L4,Auton-Coral-L3,Auton-Coral-L2,Auton-Coral-L1,Algae-Removed- from-Reef,Auton-Algae-Processor,Auton-Algae-Net,Teleop-Coral-L4,Teleop-Coral-L3,Teleop-Coral-L2,Teleop-Coral-L1,TeleOp-Removed- from-Reef,Teleop-Algae-Processor,Teleop-Algae-Net,Defense-Played-on-Robot,Climb Score,Driver Skill,Defense Rating,Died,Tippy,Comments
DH,2025micmp4,qm,1,r3,5660,c,1,1,0,0,0,1,0,0,0,6,4,1,0,0,0,0,12,2,0,,0,
Sp,2025micmp4,qm,1,b2,5066,p,1,3,0,0,0,1,0,0,3,1,4,0,1,0,0,0,2,2,,,0,
DR KT,2025micmp4,qm,1,b1,3875,c,1,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,12,0,,,0,
Ag,2025micmp4,qm,1,r1,1701,o,1,3,0,0,0,0,0,0,2,2,3,4,3,0,1,0,12,4,,,0,
"CS,MH",2025micmp4,qm,1,r2,5216,p,1,3,0,0,0,0,0,0,2,3,3,3,1,2,0,0,2,4,0,,0,Fast scorer with minor accuracy problems
SK,2025micmp4,qm,1,b3,6637,o,1,2,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,2,,,0,"Average driving, didn't climb"
DH,2025micmp4,qm,2,r3,5152,o,1,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,12,2,,,1,
DR KT,2025micmp4,qm,2,b1,3604,p,1,2,0,0,0,0,0,0,6,1,2,1,2,0,0,0,12,4,,,0,
Sp,2025micmp4,qm,2,b,10349,c,1,0,0,0,1,1,0,0,0,0,3,4,0,3,0,0,0,0,0,,0,
"CS,MH",2025micmp4,qm,2,r2,4405,p,1,3,0,0,0,0,0,0,5,3,1,0,2,0,0,0,12,4,,,0,Had some difficulty aligning their scorer to reef
SK,2025micmp4,qm,2,b3,1498,o,1,3,0,0,0,0,0,0,1,4,1,0,1,0,0,0,12,2,,,1,"Almost fell over, although had a fast ground intake"
Ag,2025micmp4,qm,2,r1,5193,c,1,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,12,2,,,0,They scored a coral but then they removed it
Ag+An,2025micmp4,qm,3,r1,302,c,1,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,,,1,0,"Auton worked, teleop for 10 sec"
DR KT,2025micmp4,qm,3,b1,7790,o,1,2,0,0,0,0,0,0,3,3,2,1,1,0,0,0,12,2,,,0,
DH,2025micmp4,qm,3,r3,226,o,1,3,0,0,0,0,0,0,3,4,4,0,1,0,0,0,12,2,,,0,
Sp,2025micmp4,qm,3,b2,6344,p,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.1,0,,,0,Long cycle times. Bad aim for l2
"CS,AA",2025micmp4,qm,3,r2,1076,p,1,3,0,0,0,0,0,0,1,5,3,1,2,2,0,0,2,2,,,0,Accurate coral scorer- inaccurate barge scorer
